Identificador;Producto;Vendedor;Cantidad;Ubicación;Categoria;Procentaje de Ganancia
268;Binder Posts;Edward Hooks;29287;Northwest Territories;Binders and Binder Accessories;0.39
269;Epson LQ-570e Dot Matrix Printer;Edward Hooks;29287;Northwest Territories;Office Machines;0.56
270;Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors;Don Miller;29510;Northwest Territories;Bookcases;0.59
271;Fellowes PB300 Plastic Comb Binding Machine;Grant Carroll;29795;Northwest Territories;Binders and Binder Accessories;0.38
272;Rush Hierlooms Collection Rich Wood Bookcases;Grant Carroll;29795;Northwest Territories;Bookcases;0.72
273;Avery 481;Brad Eason;29861;Northwest Territories;Labels;0.37
274;Sharp AL-1530CS Digital Copier;Charles McCrossin;30658;Northwest Territories;Copiers and Fax;0.36
275;SAFCO Commercial Wire Shelving, Black;Charles McCrossin;30658;Northwest Territories;Storage & Organization;
276;"Avery Trapezoid Extra Heavy Duty 4"" Binders";Charles McCrossin;30947;Northwest Territories;Binders and Binder Accessories;0.35
277;Self-Adhesive Address Labels for Typewriters by Universal;Charles McCrossin;30947;Northwest Territories;Labels;0.38
278;StarTAC Series;Bryan Mills;31077;Northwest Territories;Telephones and Communication;0.55
279;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";Monica Federle;31111;Northwest Territories;Paper;0.36
280;Dana Halogen Swing-Arm Architect Lamp;Michelle Lonsdale;31169;Northwest Territories;Office Furnishings;0.57
281;Global Comet™ Stacking Armless Chair;Michelle Lonsdale;31270;Northwest Territories;Chairs & Chairmats;0.57
282;Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs;Michelle Lonsdale;31270;Northwest Territories;Chairs & Chairmats;0.56
283;Fellowes Internet Keyboard, Platinum;Michelle Lonsdale;31270;Northwest Territories;Computer Peripherals;0.74
284;Deluxe Rollaway Locking File with Drawer;Beth Thompson;31364;Northwest Territories;Storage & Organization;0.57
285;Luxo Economy Swing Arm Lamp;Cindy Schnelling;31393;Northwest Territories;Office Furnishings;0.57
286;*Staples* vLetter Openers, 2/Pack;Cindy Schnelling;31393;Northwest Territories;Scissors, Rulers and Trimmers;0.83
287;Staples 6 Outlet Surge;Nicole Hansen;31492;Northwest Territories;Appliances;0.58
288;Acco Perma® 2700 Stacking Storage Drawers;Nicole Hansen;31492;Northwest Territories;Storage & Organization;0.7
289;Fellowes Stor/Drawer® Steel Plus™ Storage Drawers;Nicole Hansen;31492;Northwest Territories;Storage & Organization;0.79
290;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;Cari Schnelling;31558;Northwest Territories;Appliances;0.52
291;Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;Cari Schnelling;31558;Northwest Territories;Computer Peripherals;0.55
292;Lock-Up Easel 'Spel-Binder';Roy Skaria;31618;Northwest Territories;Binders and Binder Accessories;0.38
293;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";Susan Vittorini;31684;Northwest Territories;Paper;0.39
294;Tenex File Box, Personal Filing Tote with Lid, Black;Susan Vittorini;31684;Northwest Territories;Storage & Organization;0.59
295;Fellowes Black Plastic Comb Bindings;Sylvia Foulston;31781;Northwest Territories;Binders and Binder Accessories;0.39
296;Assorted Color Push Pins;Sylvia Foulston;31781;Northwest Territories;Rubber Bands;0.52
297;HP Office Paper (20Lb. and 87 Bright);Chad Cunningham;32193;Northwest Territories;Paper;0.37
298;Staples Vinyl Coated Paper Clips;Chad Cunningham;32193;Northwest Territories;Rubber Bands;0.39
299;Canon MP41DH Printing Calculator;Carlos Daly;32229;Northwest Territories;Office Machines;0.38
300;Newell 310;Carlos Daly;32229;Northwest Territories;Pens & Art Supplies;0.56
301;Kensington 7 Outlet MasterPiece Power Center;Grant Carroll;32743;Northwest Territories;Appliances;0.56
302;DAX Metal Frame, Desktop, Stepped-Edge;Julia West;32806;Northwest Territories;Office Furnishings;0.46
303;Bush Mission Pointe Library;Roy Skaria;33123;Northwest Territories;Bookcases;0.65
304;Accessory21;Cindy Schnelling;33159;Northwest Territories;Telephones and Communication;0.37
305;8860;Don Jones;33186;Northwest Territories;Telephones and Communication;0.56
306;Array® Memo Cubes;Beth Thompson;33377;Northwest Territories;Paper;0.36
307;"Fiskars 8"" Scissors, 2/Pack";Beth Thompson;33377;Northwest Territories;Scissors, Rulers and Trimmers;0.56
308;12 Colored Short Pencils;Alan Barnes;33444;Northwest Territories;Pens & Art Supplies;0.58
309;Pizazz® Global Quick File™;Alan Barnes;33444;Northwest Territories;Storage & Organization;0.57
310;Imation 5.2GB DVD-RAM;Carl Ludwig;33703;Northwest Territories;Computer Peripherals;0.5
311;Acco Perma® 2700 Stacking Storage Drawers;Carl Ludwig;33703;Northwest Territories;Storage & Organization;0.7
312;Portable Personal File Box;Carl Ludwig;33703;Northwest Territories;Storage & Organization;0.58
313;Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate;Jamie Kunitz;33734;Northwest Territories;Paper;0.38
314;Ibico Covers for Plastic or Wire Binding Elements;Heather Kirkland;33888;Northwest Territories;Binders and Binder Accessories;0.4
315;Hanging Personal Folder File;Heather Kirkland;33888;Northwest Territories;Storage & Organization;0.6
316;Tennsco Double-Tier Lockers;Heather Kirkland;33888;Northwest Territories;Storage & Organization;0.72
317;"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book";Doug Bickford;33894;Northwest Territories;Paper;0.38
318;"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut";Doug Bickford;33894;Northwest Territories;Scissors, Rulers and Trimmers;0.58
319;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";Doug Bickford;33894;Northwest Territories;Computer Peripherals;0.64
320;PC Concepts 116 Key Quantum 3000 Keyboard;Doug Bickford;33894;Northwest Territories;Computer Peripherals;0.75
321;Epson Stylus 1520 Color Inkjet Printer;Carlos Daly;33922;Northwest Territories;Office Machines;0.37
322;Avery 494;Toby Braunhardt;34177;Northwest Territories;Labels;0.39
323;Self-Adhesive Address Labels for Typewriters by Universal;Toby Braunhardt;34177;Northwest Territories;Labels;0.38
324;Accessory37;Toby Braunhardt;34177;Northwest Territories;Telephones and Communication;0.81
325;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;Cari Schnelling;34215;Northwest Territories;Binders and Binder Accessories;0.38
326;Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac;Thomas Seio;34246;Northwest Territories;Appliances;0.6
327;AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting;Thomas Seio;34246;Northwest Territories;Office Machines;0.52
328;Peel & Seel® Recycled Catalog Envelopes, Brown;Thomas Seio;34246;Northwest Territories;Envelopes;0.35
329;Cardinal Poly Pocket Divider Pockets for Ring Binders;Brendan Dodson;34631;Northwest Territories;Binders and Binder Accessories;0.4
330;Canon PC1060 Personal Laser Copier;Brendan Dodson;34631;Northwest Territories;Copiers and Fax;0.41
331;Sterling Rubber Bands by Alliance;Charlotte Melton;35047;Northwest Territories;Rubber Bands;0.85
332;Newell 312;Beth Thompson;35266;Northwest Territories;Pens & Art Supplies;0.55
333;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;Beth Thompson;35266;Northwest Territories;Tables;0.77
334;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack";Eugene Barchas;35847;Northwest Territories;Computer Peripherals;0.64
335;Avery Flip-Chart Easel Binder, Black;Michelle Lonsdale;36001;Northwest Territories;Binders and Binder Accessories;0.38
336;GBC Binding covers;Michelle Lonsdale;36001;Northwest Territories;Binders and Binder Accessories;0.4
337;R280;Grant Carroll;36134;Northwest Territories;Telephones and Communication;0.55
338;Accessory9;Beth Paige;36135;Northwest Territories;Telephones and Communication;0.39
339;U.S. Robotics 56K Internet Call Modem;Dorothy Wardle;36644;Northwest Territories;Computer Peripherals;0.5
340;Tennsco Industrial Shelving;Muhammed MacIntyre;36646;Northwest Territories;Storage & Organization;0.83
341;Staples Bulldog Clip;Charlotte Melton;36707;Northwest Territories;Rubber Bands;0.39
342;Micro Innovations Micro 3000 Keyboard, Black;Muhammed MacIntyre;37253;Northwest Territories;Computer Peripherals;0.75
343;Fellowes Basic 104-Key Keyboard, Platinum;Claudia Miner;37541;Northwest Territories;Computer Peripherals;0.65
344;Xerox 1882;Claudia Miner;37541;Northwest Territories;Paper;0.36
345;Carina Double Wide Media Storage Towers in Natural & Black;Claudia Miner;37541;Northwest Territories;Storage & Organization;0.81
346;Portable Personal File Box;Brendan Dodson;37634;Northwest Territories;Storage & Organization;0.58
347;"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L";Dorothy Wardle;37793;Northwest Territories;Scissors, Rulers and Trimmers;0.56
348;Eldon Cleatmat® Chair Mats for Medium Pile Carpets;Mike Pelletier;37860;Northwest Territories;Office Furnishings;0.72
349;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);Edward Hooks;38884;Northwest Territories;Paper;0.4
350;Hon 94000 Series Round Tables;Edward Hooks;38884;Northwest Territories;Tables;0.76
351;Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting;Jamie Kunitz;39364;Northwest Territories;Office Furnishings;0.67
352;Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind;Jamie Kunitz;39364;Northwest Territories;Binders and Binder Accessories;0.35
353;Global High-Back Leather Tilter, Burgundy;Julia West;39457;Northwest Territories;Chairs & Chairmats;0.74
354;Poly Designer Cover & Back;Jeremy Lonsdale;39683;Northwest Territories;Binders and Binder Accessories;0.37
355;Lifetime Advantage™ Folding Chairs, 4/Carton;Jeremy Lonsdale;39683;Northwest Territories;Chairs & Chairmats;0.57
356;DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size;Jeremy Lonsdale;39683;Northwest Territories;Office Furnishings;0.49
357;Stockwell Push Pins;Jeremy Lonsdale;39683;Northwest Territories;Rubber Bands;0.52
358;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";Cindy Schnelling;39846;Northwest Territories;Computer Peripherals;0.64
359;8260;Heather Kirkland;40036;Northwest Territories;Telephones and Communication;0.58
360;3390;Alan Barnes;40067;Northwest Territories;Telephones and Communication;0.57
361;Global Deluxe Stacking Chair, Gray;Hunter Glantz;40132;Northwest Territories;Chairs & Chairmats;0.56
362;Bevis 36 x 72 Conference Tables;Hunter Glantz;40132;Northwest Territories;Tables;0.63
363;Avery Flip-Chart Easel Binder, Black;Hunter Glantz;40132;Northwest Territories;Binders and Binder Accessories;0.38
364;"Howard Miller 16"" Diameter Gallery Wall Clock";Julia West;40160;Northwest Territories;Office Furnishings;0.46
365;"ACCOHIDE® 3-Ring Binder, Blue, 1""";Carlos Daly;40518;Northwest Territories;Binders and Binder Accessories;0.38
366;Global High-Back Leather Tilter, Burgundy;Barry French;40804;Northwest Territories;Chairs & Chairmats;0.74
367;"Wilson Jones Hanging View Binder, White, 1""";Susan Vittorini;40902;Northwest Territories;Binders and Binder Accessories;0.39
368;Boston 1730 StandUp Electric Pencil Sharpener;Carl Jackson;41063;Northwest Territories;Pens & Art Supplies;0.59
369;Accessory31;Carl Jackson;41063;Northwest Territories;Telephones and Communication;0.35
370;Accessory8;Carl Jackson;41063;Northwest Territories;Telephones and Communication;0.39
371;Fellowes 17-key keypad for PS/2 interface;Alan Barnes;41153;Northwest Territories;Computer Peripherals;0.75
372;Hanging Personal Folder File;Charlotte Melton;41184;Northwest Territories;Storage & Organization;0.6
373;Ibico Covers for Plastic or Wire Binding Elements;Beth Thompson;41409;Northwest Territories;Binders and Binder Accessories;0.4
374;Hoover Portapower™ Portable Vacuum;Bryan Mills;41696;Northwest Territories;Appliances;0.6
375;Fellowes Command Center 5-outlet power strip;Alan Barnes;42209;Northwest Territories;Appliances;0.58
376;SAFCO Arco Folding Chair;Alan Barnes;42209;Northwest Territories;Chairs & Chairmats;
377;Accessory12;Beth Paige;42561;Northwest Territories;Telephones and Communication;0.35
378;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;Mike Pelletier;42564;Northwest Territories;Chairs & Chairmats;0.58
379;3390;Delfina Latchford;42695;Northwest Territories;Telephones and Communication;0.57
380;GBC DocuBind TL300 Electric Binding System;Susan Vittorini;42981;Northwest Territories;Binders and Binder Accessories;0.38
381;GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb;Dorothy Wardle;43109;Northwest Territories;Binders and Binder Accessories;0.39
382;Microsoft Internet Keyboard;Dorothy Wardle;43109;Northwest Territories;Computer Peripherals;0.78
383;TDK 4.7GB DVD-R;Dorothy Wardle;43109;Northwest Territories;Computer Peripherals;0.41
384;Xerox 1977;Susan Vittorini;43203;Northwest Territories;Paper;0.37
385;DAX Solid Wood Frames;Jamie Kunitz;43236;Northwest Territories;Office Furnishings;0.48
386;Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room;Fred Wasserman;43267;Northwest Territories;Appliances;0.54
387;Belkin 8 Outlet SurgeMaster II Gold Surge Protector;Doug Bickford;43329;Northwest Territories;Appliances;0.57
388;8260;Fred Wasserman;43330;Northwest Territories;Telephones and Communication;0.58
389;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;Susan Vittorini;43364;Northwest Territories;Envelopes;0.35
390;Multimedia Mailers;Doug Bickford;43392;Northwest Territories;Envelopes;0.39
391;White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes;Claudia Miner;43781;Northwest Territories;Envelopes;0.35
392;"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets";Claudia Miner;43781;Northwest Territories;Binders and Binder Accessories;0.36
393;DXL™ Angle-View Binders with Locking Rings, Black;Frank Price;44071;Northwest Territories;Binders and Binder Accessories;0.38
394;8260;Frank Price;44071;Northwest Territories;Telephones and Communication;0.58
395;Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders;Dorothy Wardle;44519;Northwest Territories;Binders and Binder Accessories;0.37
396;Laser & Ink Jet Business Envelopes;Dorothy Wardle;44519;Northwest Territories;Envelopes;0.39
397;Okidata ML390 Turbo Dot Matrix Printers;Dorothy Wardle;44519;Northwest Territories;Office Machines;0.56
398;Eldon Regeneration Recycled Desk Accessories, Smoke;Allen Rosenblatt;44708;Northwest Territories;Office Furnishings;0.53
399;Accessory36;Dorothy Wardle;44772;Northwest Territories;Telephones and Communication;0.83
400;"Linden® 12"" Wall Clock With Oak Frame";Julia West;44839;Northwest Territories;Office Furnishings;0.55
401;2160i;Ralph Knight;45217;Northwest Territories;Telephones and Communication;0.59
402;Global Deluxe High-Back Office Chair in Storm;Michelle Lonsdale;45440;Northwest Territories;Chairs & Chairmats;0.76
403;"Howard Miller 16"" Diameter Gallery Wall Clock";Charlotte Melton;45766;Northwest Territories;Office Furnishings;0.46
404;Canon MP100DHII Printing Calculator;Charlotte Melton;45766;Northwest Territories;Office Machines;0.37
405;Accessory21;Allen Rosenblatt;45861;Northwest Territories;Telephones and Communication;0.37
406;Verbatim DVD-R 4.7GB authoring disc;Neola Schneider;45957;Northwest Territories;Computer Peripherals;0.51
407;"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4";Neola Schneider;45957;Northwest Territories;Paper;0.36
408;C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx;Joy Bell;46912;Northwest Territories;Office Furnishings;0.54
409;Avery 51;Monica Federle;46980;Northwest Territories;Labels;0.39
410;SANFORD Liquid Accent™ Tank-Style Highlighters;Jamie Kunitz;47460;Northwest Territories;Pens & Art Supplies;0.54
411;Avery Poly Binder Pockets;Susan Vittorini;47462;Northwest Territories;Binders and Binder Accessories;0.37
412;Dixon My First Ticonderoga Pencil, #2;Susan Vittorini;47462;Northwest Territories;Pens & Art Supplies;0.56
413;Acco® Hot Clips™ Clips to Go;Susan Vittorini;47462;Northwest Territories;Rubber Bands;0.4
414;Fiskars® Softgrip Scissors;Charles McCrossin;47620;Northwest Territories;Scissors, Rulers and Trimmers;0.57
415;"Elite 5"" Scissors";Cari Schnelling;47749;Northwest Territories;Scissors, Rulers and Trimmers;0.55
416;Eldon Wave Desk Accessories;Doug Bickford;47873;Northwest Territories;Office Furnishings;0.41
417;Avery 478;Don Miller;47943;Northwest Territories;Labels;0.36
418;Boston 16701 Slimline Battery Pencil Sharpener;Don Miller;47943;Northwest Territories;Pens & Art Supplies;0.55
419;Xerox 1982;Fred Wasserman;48101;Northwest Territories;Paper;0.39
420;Soundgear Copyboard Conference Phone, Optional Battery;Bryan Mills;48295;Northwest Territories;Office Machines;0.37
421;Dot Matrix Printer Tape Reel Labels, White, 5000/Box;Carlos Daly;48839;Northwest Territories;Labels;0.36
422;Euro Pro Shark Stick Mini Vacuum;Joy Bell;49154;Northwest Territories;Appliances;0.59
423;Panasonic KX-P1150 Dot Matrix Printer;Claudia Miner;49921;Northwest Territories;Office Machines;0.56
424;Recycled Eldon Regeneration Jumbo File;Claudia Miner;49921;Northwest Territories;Storage & Organization;0.57
425;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";Beth Thompson;49952;Northwest Territories;Office Furnishings;0.65
426;Avery 498;Allen Rosenblatt;50117;Northwest Territories;Labels;0.38
427;Premium Transparent Presentation Covers by GBC;Beth Thompson;50278;Northwest Territories;Binders and Binder Accessories;0.37
428;"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf";Beth Thompson;50278;Northwest Territories;Tables;0.59
429;GBC VeloBinder Electric Binding Machine;Susan Vittorini;50374;Northwest Territories;Binders and Binder Accessories;0.35
430;Brown Kraft Recycled Envelopes;Sylvia Foulston;50565;Northwest Territories;Envelopes;0.35
431;"Acme® 8"" Straight Scissors";Joy Bell;50688;Northwest Territories;Scissors, Rulers and Trimmers;0.6
432;Bell Sonecor JB700 Caller ID;Becky Castell;50754;Northwest Territories;Telephones and Communication;0.6
433;A1228;Carlos Daly;50914;Northwest Territories;Telephones and Communication;0.58
434;3M Polarizing Task Lamp with Clamp Arm, Light Gray;Cari Schnelling;51169;Northwest Territories;Office Furnishings;0.59
435;8290;Jim Radford;51938;Northwest Territories;Telephones and Communication;0.6
436;Hewlett-Packard Deskjet 5550 Color Inkjet Printer;Allen Rosenblatt;51970;Northwest Territories;Office Machines;0.4
437;Fellowes Neat Ideas® Storage Cubes;Dorothy Badders;51971;Northwest Territories;Storage & Organization;0.81
438;Lesro Round Back Collection Coffee Table, End Table;Dorothy Badders;51971;Northwest Territories;Tables;0.72
439;Avery 492;Mike Pelletier;52193;Northwest Territories;Labels;0.39
440;Newell 343;Mike Pelletier;52193;Northwest Territories;Pens & Art Supplies;0.58
441;Recycled Eldon Regeneration Jumbo File;Doug Bickford;52321;Northwest Territories;Storage & Organization;0.57
442;SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black;Doug Bickford;52321;Northwest Territories;Tables;
443;Canon S750 Color Inkjet Printer;Susan Vittorini;52386;Northwest Territories;Office Machines;0.38
444;Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener;Andrew Gjertsen;52807;Northwest Territories;Pens & Art Supplies;0.55
445;AT&T Black Trimline Phone, Model 210;Muhammed MacIntyre;52929;Northwest Territories;Office Machines;0.49
446;Newell 318;Muhammed MacIntyre;52929;Northwest Territories;Pens & Art Supplies;0.59
447;Staples Pen Style Liquid Stix;;;;;
448;Staples Vinyl Coated Paper Clips;Muhammed MacIntyre;52929;Northwest Territories;Rubber Bands;0.39
449;3M Polarizing Task Lamp with Clamp Arm, Light Gray;Jim Radford;52964;Northwest Territories;Office Furnishings;0.59
450;Avery 491;Bryan Davis;53156;Northwest Territories;Labels;0.39
451;Fellowes Black Plastic Comb Bindings;Anthony Johnson;53511;Northwest Territories;Binders and Binder Accessories;0.39
452;Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak;Anthony Johnson;53511;Northwest Territories;Office Furnishings;0.55
453;O'Sullivan 3-Shelf Heavy-Duty Bookcases;Doug Bickford;53797;Northwest Territories;Bookcases;0.61
454;T18;Carlos Daly;53990;Northwest Territories;Telephones and Communication;0.57
455;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;Don Miller;54083;Northwest Territories;Appliances;0.59
456;Honeywell Quietcare HEPA Air Cleaner;Don Jones;54274;Northwest Territories;Appliances;0.52
457;Staples Colored Bar Computer Paper;Chad Cunningham;54276;Northwest Territories;Paper;0.38
458;Boston 16765 Mini Stand Up Battery Pencil Sharpener;Ralph Arnett;54528;Northwest Territories;Pens & Art Supplies;0.59
459;Staples Battery-Operated Desktop Pencil Sharpener;Ralph Arnett;54528;Northwest Territories;Pens & Art Supplies;0.6
460;Eldon® 200 Class™ Desk Accessories;Nicole Hansen;54567;Northwest Territories;Office Furnishings;0.53
461;Memorex 80 Minute CD-R, 30/Pack;Fred Wasserman;54628;Northwest Territories;Computer Peripherals;0.46
462;Global Leather and Oak Executive Chair, Black;Bryan Mills;55298;Northwest Territories;Chairs & Chairmats;0.56
463;Dual Level, Single-Width Filing Carts;Ralph Arnett;55363;Northwest Territories;Storage & Organization;0.59
464;Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum;Doug Bickford;55366;Northwest Territories;Computer Peripherals;0.68
465;"Wilson Jones 1"" Hanging DublLock® Ring Binders";Eugene Barchas;55715;Northwest Territories;Binders and Binder Accessories;0.37
466;Master Giant Foot® Doorstop, Safety Yellow;Brad Eason;55875;Northwest Territories;Office Furnishings;0.42
467;"Perma STOR-ALL™ Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H";Brad Eason;55875;Northwest Territories;Storage & Organization;0.68
468;Epson DFX-8500 Dot Matrix Printer;Dorothy Wardle;56453;Northwest Territories;Office Machines;0.57
469;Xerox 194;Ralph Knight;57127;Northwest Territories;Paper;0.37
470;SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp;Sylvia Foulston;57344;Northwest Territories;Telephones and Communication;0.56
471;Avery 493;Neola Schneider;57509;Northwest Territories;Labels;0.36
472;"Bevis Round Bullnose 29"" High Table Top";Neola Schneider;57509;Northwest Territories;Tables;0.61
473;GBC Recycled Regency Composition Covers;Grant Carroll;57600;Northwest Territories;Binders and Binder Accessories;0.39
474;Avery 506;Grant Carroll;57600;Prince Edward Island;Labels;0.39
475;Xerox 197;Grant Carroll;57600;Prince Edward Island;Paper;0.4
476;Eldon® Expressions™ Wood Desk Accessories, Oak;Julia West;58055;Prince Edward Island;Office Furnishings;0.56
477;Xerox 1935;Muhammed MacIntyre;58144;Prince Edward Island;Paper;0.39
478;Peel & Stick Add-On Corner Pockets;Susan Vittorini;58150;Prince Edward Island;Binders and Binder Accessories;0.37
479;Eureka The Boss® Cordless Rechargeable Stick Vac;Sylvia Foulston;58340;Prince Edward Island;Appliances;0.58
480;Eldon® Wave Desk Accessories;Doug Bickford;58368;Prince Edward Island;Office Furnishings;0.43
481;Xerox 1905;Doug Bickford;58368;Prince Edward Island;Paper;0.37
482;Fellowes Bankers Box™ Staxonsteel® Drawer File/Stacking System;Doug Bickford;58368;Prince Edward Island;Storage & Organization;0.73
483;"Executive Impressions 13"" Clairmont Wall Clock";Dorothy Badders;58434;Prince Edward Island;Office Furnishings;0.44
484;Global Leather and Oak Executive Chair, Black;Henry Goldwyn;58626;Prince Edward Island;Chairs & Chairmats;0.56
485;Global Troy™ Executive Leather Low-Back Tilter;Henry Goldwyn;58626;Prince Edward Island;Chairs & Chairmats;0.6
486;Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus;Henry Goldwyn;58626;Prince Edward Island;Computer Peripherals;0.55
487;Staples SlimLine Pencil Sharpener;Grant Carroll;58688;Prince Edward Island;Pens & Art Supplies;0.6
488;Presstex Flexible Ring Binders;Chad Cunningham;59045;Prince Edward Island;Binders and Binder Accessories;0.35
489;Memorex 4.7GB DVD+RW, 3/Pack;Beth Thompson;59047;Prince Edward Island;Computer Peripherals;0.4
490;Eldon Image Series Black Desk Accessories;Beth Thompson;59047;Prince Edward Island;Office Furnishings;0.49
491;Avery 485;Andrew Gjertsen;59202;Prince Edward Island;Labels;0.38
492;Dixon My First Ticonderoga Pencil, #2;Andrew Gjertsen;59202;Prince Edward Island;Pens & Art Supplies;0.56
493;Global Adaptabilities™ Conference Tables;Sylvia Foulston;59207;Prince Edward Island;Tables;0.78
494;Kensington 7 Outlet MasterPiece Power Center;Michelle Lonsdale;59234;Prince Edward Island;Appliances;0.56
495;Global Deluxe Stacking Chair, Gray;Michelle Lonsdale;59234;Prince Edward Island;Chairs & Chairmats;0.56
496;Xerox 1885;Cari Schnelling;59395;Prince Edward Island;Paper;0.37
497;Avery 479;Henry Goldwyn;59558;Prince Edward Island;Labels;0.39
498;AT&T Black Trimline Phone, Model 210;Edward Hooks;59585;Prince Edward Island;Office Machines;0.49
499;Fellowes Twister Kit, Gray/Clear, 3/pkg;Brendan Dodson;59651;Prince Edward Island;Binders and Binder Accessories;0.4
500;Eldon Pizzaz™ Desk Accessories;Brendan Dodson;59651;Prince Edward Island;Office Furnishings;0.41
501;GBC Binding covers;Harold Engle;645;Prince Edward Island;Binders and Binder Accessories;0.4
502;Hewlett-Packard Deskjet 5550 Color Inkjet Printer;Roy French;769;Prince Edward Island;Office Machines;0.4
503;Talkabout T8367;Helen Abelman;773;Prince Edward Island;Telephones and Communication;0.56
504;Logitech Access Keyboard;Guy Armstrong;1187;Prince Edward Island;Computer Peripherals;0.37
505;Fellowes Strictly Business® Drawer File, Letter/Legal Size;Jennifer Braxton;2339;Prince Edward Island;Storage & Organization;0.73
506;Newell 336;Giulietta Baptist;3521;Prince Edward Island;Pens & Art Supplies;0.56
507;Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit;Jack Lebron;4007;Prince Edward Island;Appliances;0.56
508;Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units;Jack Lebron;4007;Prince Edward Island;Storage & Organization;0.8
509;GBC DocuBind P100 Manual Binding Machine;Erica Bern;4416;Prince Edward Island;Binders and Binder Accessories;0.4
510;Avery 497;Erica Bern;4454;Prince Edward Island;Labels;0.37
511;SAFCO Folding Chair Trolley;Helen Abelman;5153;Prince Edward Island;Chairs & Chairmats;
512;"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""";Guy Armstrong;5446;Prince Edward Island;Envelopes;0.36
513;Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS;Helen Abelman;8131;Prince Edward Island;Computer Peripherals;0.5
514;Keytronic Designer 104- Key Black Keyboard;Christopher Schild;8994;Prince Edward Island;Computer Peripherals;0.77
515;Accessory31;Roy French;9027;Prince Edward Island;Telephones and Communication;0.35
516;Avanti 4.4 Cu. Ft. Refrigerator;Roy French;9216;Prince Edward Island;Appliances;0.57
517;Bush Mission Pointe Library;Jennifer Braxton;9537;Prince Edward Island;Bookcases;0.65
518;"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue";Jennifer Braxton;9537;Prince Edward Island;Binders and Binder Accessories;0.36
519;Ibico Covers for Plastic or Wire Binding Elements;Joy Smith;9574;Prince Edward Island;Binders and Binder Accessories;0.4
520;Boston KS Multi-Size Manual Pencil Sharpener;Evan Minnotte;10435;Prince Edward Island;Pens & Art Supplies;0.57
521;Hunt BOSTON® Vista® Battery-Operated Pencil Sharpener, Black;Evan Minnotte;10435;Prince Edward Island;Pens & Art Supplies;0.58
522;Martin-Yale Premier Letter Opener;Jenna Caffey;10851;Prince Edward Island;Scissors, Rulers and Trimmers;0.82
